obips_rss,obips_vsz,obis_rss,obis_vsz,obijh_rss,obijh_vsz,biresults_rss,biresults_vsz,machineMemory
1556.59765625,5986.35546875,366.06640625,5040.85546875,386.43359375,6062.42578125,3679.49609375,19710.4765625,12085.4609375
1556.828125,5986.49609375,366.51953125,5041.29296875,383.1015625,6062.42578125,3671.4765625,19710.4765625,12075.4296875
1556.91015625,5986.54296875,366.7109375,5041.49609375,433.3359375,6062.42578125,3659.765625,19710.4765625,12076.32421875
1557.109375,5986.73046875,367.25390625,5041.671875,438.86328125,6062.42578125,3649.24609375,19710.4765625,12117.296875
1557.15625,5986.73046875,367.24609375,5041.671875,438.8203125,6062.42578125,3643.73046875,19710.4765625,12104.81640625
1557.32421875,5986.90234375,367.2734375,5041.671875,430.796875,6062.42578125,3637.2109375,19710.4765625,12086.46875
1557.3359375,5986.90234375,367.296875,5041.671875,422.77734375,6062.42578125,3637.2109375,19710.4765625,12079.34765625
1557.4375,5986.94921875,367.28125,5041.671875,418.5625,6062.42578125,3656.6015625,19710.4765625,12065.85546875
1557.48828125,5987.21484375,367.328125,5041.71875,427.09765625,6062.42578125,3658.0859375,19710.4765625,12088.15234375
1557.6875,5987.88671875,367.3828125,5041.71875,420.58203125,6062.42578125,3658.234375,19710.4765625,12095.546875
1557.98828125,5987.94921875,367.3828125,5041.71875,410.0625,6062.42578125,3678.86328125,19710.4765625,12088.5078125
1557.9921875,5987.96484375,367.37890625,5041.71875,402.046875,6062.42578125,3677.84765625,19710.4765625,12099.1796875
1558.609375,5988.41796875,367.37890625,5041.71875,395.53515625,6062.42578125,3679.859375,19710.4765625,12091.96484375
1558.87890625,5988.41796875,367.3671875,5041.71875,432.91015625,6062.42578125,3700.62109375,19710.4765625,12087.34375
1559.08984375,5988.51171875,367.3671875,5084.63671875,461.50390625,6062.42578125,3700.0625,19710.4765625,12126.6953125
1559.35546875,5988.54296875,367.36328125,5041.71875,464.03515625,6062.42578125,3701.59375,19710.4765625,12170.234375
1559.609375,5988.54296875,367.37109375,5041.71875,458.0234375,6062.42578125,3701.59375,19710.4765625,12179.75390625
1559.625,5988.54296875,367.359375,5041.71875,451.0078125,6062.42578125,3684.34375,19710.4765625,12172.68359375
1559.625,5988.54296875,367.37109375,5041.71875,443.1796875,6062.42578125,3716.6796875,19710.4765625,12186.9375
1559.6484375,5988.54296875,367.37109375,5041.71875,438.66796875,6062.42578125,3709.671875,19710.4765625,12142.97265625
1559.65625,5988.54296875,367.3671875,5041.71875,438.37109375,6062.42578125,3704.16015625,19710.4765625,12167.10546875
1559.6796875,5988.57421875,367.3671875,5041.71875,427.8515625,6062.42578125,3691.5859375,19710.4765625,12164.7734375
1559.69140625,5988.58984375,367.35546875,5084.63671875,392.4453125,6062.42578125,3684.58203125,19710.4765625,12145.25
1559.69140625,5988.58984375,367.35546875,5041.71875,389.9375,6062.42578125,3675.265625,19710.4765625,12101.34375
1559.92578125,5988.58984375,367.375,5041.71875,396.93359375,6062.42578125,3659.23046875,19710.4765625,12088.22265625
